iter	RMSE
0	0.9830410881
1	0.9692565836
2	0.9570537148
3	0.9458624725
4	0.9372635996
5	0.9267034015
6	0.913324178
7	0.9020714535
8	0.8964065413
9	0.8920083646
10	0.8872382194
11	0.8836069127
12	0.8779883425
13	0.8733534417
14	0.8699930872
15	0.8658945777
16	0.8629953695
17	0.8599135445
18	0.8557492947
19	0.8531106396
20	0.8510379229
21	0.847925798
22	0.843033132
23	0.8368037829
24	0.8319973557
25	0.8301796664
26	0.827675624
27	0.8249560036
28	0.8208029409
29	0.8188578584
30	0.8164744892
31	0.8123972949
32	0.8105285857
33	0.8079068231
34	0.806298355
35	0.8038299859
36	0.8015442223
37	0.7986886579
38	0.7962792963
39	0.7943746747
40	0.7924561052
41	0.7905416415
42	0.7891778344
43	0.7879750695
44	0.7867924783
45	0.7851672682
46	0.7819546489
47	0.7806826373
48	0.777582264
49	0.7757877633
50	0.7741508087
51	0.7714544148
52	0.7701947362
53	0.7694961295
54	0.7680097204
55	0.7667253746
56	0.7645015123
57	0.7638619676
58	0.7629805949
59	0.7611660629
60	0.7597453692
61	0.7576562071
62	0.7543471851
63	0.7524751082
64	0.7504843098
65	0.7489758884
66	0.745753782
67	0.744099803
68	0.7424133822
69	0.7409803618
70	0.7390107506
71	0.7369921908
72	0.7358980673
73	0.7333190208
74	0.7317752841
75	0.7300008068
76	0.7278670381
77	0.7253772614
78	0.7233055507
79	0.7216430995
80	0.7195043837
81	0.7185941119
82	0.7163872925
83	0.7145774448
84	0.7126753405
85	0.7116057984
86	0.7102527938
87	0.7079097683
88	0.7063912635
89	0.7043224552
90	0.7028788733
91	0.7013079323
92	0.6996964474
93	0.6985473755
94	0.6972075737
95	0.6955414973
96	0.6946662328
97	0.6931148503
98	0.6919301095
99	0.6903854427
