iter	Passed	Remaining
0	1	100
1	1	90
2	2	84
3	3	77
4	3	74
5	4	72
6	5	69
7	5	67
8	6	64
9	6	62
10	7	60
11	8	59
12	8	57
13	9	55
14	9	53
15	9	52
16	10	50
17	10	49
18	11	48
19	11	46
20	12	45
21	12	44
22	13	44
23	13	42
24	13	41
25	14	40
26	14	39
27	15	39
28	15	38
29	16	37
30	16	36
31	16	36
32	17	35
33	17	34
34	18	33
35	18	32
36	19	32
37	19	31
38	20	31
39	20	30
40	20	29
41	21	29
42	21	28
43	22	28
44	22	27
45	22	26
46	23	26
47	23	25
48	23	24
49	24	24
50	24	23
51	25	23
52	25	22
53	26	22
54	26	21
55	26	21
56	27	20
57	27	20
58	28	19
59	28	19
60	29	18
61	29	18
62	29	17
63	30	17
64	30	16
65	31	16
66	31	15
67	32	15
68	32	14
69	33	14
70	33	13
71	34	13
72	35	12
73	35	12
74	36	12
75	36	11
76	37	11
77	37	10
78	38	10
79	39	9
80	40	9
81	40	8
82	41	8
83	41	7
84	41	7
85	42	6
86	42	6
87	43	5
88	43	5
89	44	4
90	44	4
91	44	3
92	45	3
93	45	2
94	45	2
95	46	1
96	46	1
97	47	0
98	47	0
99	48	0
